Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 2000 Growth RGS Consumer Discretionary Index Price Return,USD,Price,End of day,R2GRGSCD,,.R2GRGSCD
Russell 2000 Growth RGS Consumer Discretionary Index Total Return,USD,Total,End of day,R2GRGSCDT,,.R2GRGSCDT
Russell 2000 Growth RGS Consumer Staples Index Price Return,USD,Price,End of day,R2GRGSCS,,.R2GRGSCS
Russell 2000 Growth RGS Consumer Staples Index Total Return,USD,Total,End of day,R2GRGSCST,,.R2GRGSCST
Russell 2000 Growth RGS Energy Index Price Return,USD,Price,End of day,R2GRGSENG,,.R2GRGSENG
Russell 2000 Growth RGS Energy Index Total Return,USD,Total,End of day,R2GRGSENGT,,.R2GRGSENGT
Russell 2000 Growth RGS Financial Services Index Price Return,USD,Price,End of day,R2GRGSFS,,.R2GRGSFS
Russell 2000 Growth RGS Financial Services Index Total Return,USD,Total,End of day,R2GRGSFST,,.R2GRGSFST
Russell 2000 Growth RGS Health Care Index Price Return,USD,Price,End of day,R2GRGSHC,,.R2GRGSHC
Russell 2000 Growth RGS Health Care Index Total Return,USD,Total,End of day,R2GRGSHCT,,.R2GRGSHCT
Russell 2000 Growth RGS Ind: Biotechnology,USD,Price,End of day,R2GBIO,RGUHSBTG,.R2GBIOP
Russell 2000 Growth RGS Ind: Biotechnology Total Return,USD,Total,End of day,R2GBIOTR,,.R2GBIOT
Russell 2000 Growth RGS Materials & Processing Index Price Return,USD,Price,End of day,R2GRGSMP,,.R2GRGSMP
Russell 2000 Growth RGS Materials & Processing Index Total Return,USD,Total,End of day,R2GRGSMPT,,.R2GRGSMPT
Russell 2000 Growth RGS Producer Durables Index Price Return,USD,Price,End of day,R2GRGSPD,,.R2GRGSPD
